method,seed,held_out_protocol,support_repeat,adaptation_step,effective_adaptation_step,count,mae_cycles,median_absolute_error_cycles,rmse_cycles,mape_percent,mean_bias_cycles,within_10_percent_accuracy,within_15_percent_accuracy,r2,max_absolute_error_cycles,y_general_mae_cycles,y_general_rmse_cycles,mean_absolute_y_general,mean_absolute_specific_residual,residual_to_general_ratio,residual_ratio_warning,general_representation_cosine_distance,general_representation_l2_distance,specific_representation_cosine_distance,specific_representation_l2_distance,source_validation_general_domain_accuracy,source_validation_specific_domain_accuracy,target_support_labels_used_for_adaptation,target_query_labels_used_for_adaptation_or_checkpoint_selection,prediction_mode
hybrid,42,protocol_1,2,0,0,6,380.8375040690104,208.48443603515625,519.1215627836091,26.640757274044645,106.73903401692708,0.3333333333333333,0.5,-0.0858531958012438,1045.7607421875,380.68015543619794,518.3725637349107,1836.8697509765625,3.204741716384888,0.0017446755354761,False,9.934107758624576e-09,0.0,0.0,0.0,0.25,0.5,False,False,residual
hybrid,42,protocol_1,2,1,1,6,381.73402913411456,244.3768310546875,522.7364701520189,27.024146861631703,134.52691650390625,0.3333333333333333,0.3333333333333333,-0.1010285450332872,1059.56982421875,382.1834920247396,522.0660563721916,1864.3927001953125,3.0830039978027344,0.0016536237228775,False,9.934107758624576e-09,0.0,5.281965059111826e-05,0.0415138304233551,0.25,0.5,True,False,residual
hybrid,42,protocol_1,2,2,2,6,388.60052490234375,271.30682373046875,526.7156418805899,27.643310538248915,156.19696044921875,0.3333333333333333,0.3333333333333333,-0.1178548317514154,1071.276611328125,389.0194905598958,526.0760735808727,1885.8353271484373,2.983340263366699,0.0015819728374045,False,9.934107758624576e-09,0.0,0.0001786152570275,0.0763696879148483,0.25,0.5,True,False,residual
hybrid,42,protocol_1,2,5,5,6,401.74261474609375,322.0968017578125,537.7455472354914,28.86556921437964,200.2816365559896,0.3333333333333333,0.3333333333333333,-0.1651628323935323,1098.649658203125,402.0876871744792,537.0624461661245,1929.3831787109373,2.780775785446167,0.0014412770962915,False,9.934107758624576e-09,0.0,0.0007333954563364,0.1558626443147659,0.25,0.5,True,False,residual
hybrid,42,protocol_1,2,10,10,6,411.349365234375,356.0181884765625,549.8220069220182,29.83229148391942,237.36149088541663,0.3333333333333333,0.3333333333333333,-0.2180839314909821,1129.204345703125,412.2498168945313,548.9136567734222,1965.8521728515625,2.6427361965179443,0.0013443209174189,False,9.934107758624576e-09,0.0,0.0016890665283426,0.2420635670423507,0.25,0.5,True,False,residual
hybrid,42,protocol_1,3,0,0,6,366.0872192382813,196.3006591796875,513.4322879371709,26.22841476047624,60.74334716796875,0.5,0.5,-0.8989971224406126,1045.7607421875,361.85546875,509.7568741888924,1757.5858154296875,5.135942935943604,0.0029221577068133,False,4.9670539681301313e-08,0.0,1.9868215517249155e-08,0.0,0.25,0.5,False,False,residual
hybrid,42,protocol_1,3,1,1,6,372.3653564453125,197.7655029296875,535.7048703840652,27.03974593459715,81.7686767578125,0.5,0.5,-1.0673268413337502,1117.452880859375,368.3592529296875,531.5032384211245,1777.9888916015625,5.15490198135376,0.0028992880696292,False,4.9670539681301313e-08,0.0,0.0001752873358782,0.0826839134097099,0.25,0.5,True,False,residual
hybrid,42,protocol_1,3,2,2,6,387.0237426757813,199.1278076171875,558.8615012230448,28.26795368361644,99.75164794921876,0.5,0.5,-1.2499161848547216,1187.38916015625,382.6554565429688,554.1608063483445,1795.4205322265625,5.163521766662598,0.0028759400229533,False,4.9670539681301313e-08,0.0,0.0006056329002603,0.1529834270477295,0.25,0.5,True,False,residual
hybrid,42,protocol_1,3,5,5,6,428.34521484375,202.3719482421875,625.328978638975,31.630831475102436,135.120849609375,0.3333333333333333,0.6666666666666666,-1.816923570317772,1373.216064453125,423.24477132161456,619.5184749725847,1829.6495361328125,5.176437377929688,0.0028291961251064,False,4.9670539681301313e-08,0.0,0.0022060177288949,0.2890993356704712,0.25,0.5,True,False,residual
hybrid,42,protocol_1,3,10,10,6,472.4488932291667,206.19805908203125,693.7901538918866,35.020698323664625,142.517578125,0.3333333333333333,0.6666666666666666,-2.46748202215826,1547.0146484375,466.9617513020833,687.3389241692527,1836.4923095703125,5.487121105194092,0.0029878268896633,False,4.9670539681301313e-08,0.0,0.0033778548240661,0.3587114214897156,0.25,0.5,True,False,residual
